Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Delivery Charges,Loaded Fries EGY TO,Super Star Meal HD EGY QC,,,,,,,,,,,,
Delivery Charges,Mushroom&Swiss Meal HD EGY QC,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Al Ostora Meal EGY QC,Chicken Fillet HRD EGY,,,,,,,,,,,,
Angus Orginal Meal EGY QC,Cheddar Cheese 4 OZ EGY,,,,,,,,,,,,,
O/Super Star Chicken Sandwich KSA EGY TO,Super Star Chicken(N) EGY QC,,,,,,,,,,,,,
Angus Thick Burger Sand  EGY,,,,,,,,,,,,,,
Vodafone Mushroom&Cookie EGY QC,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,American Cheese HRD EGY,Roast Beef & Cheeder  EGY,Super Star Sandwich EGY,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Angus Orginal Meal EGY QC,,,,,,,,,,,,,
Jalapeno Chicken Meal EGY QC,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Super Star Chicken(N) EGY QC,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Mushroom&Swiss Meal EGY QC,,,,,,,,,,,,,
Mushroom Double Treat QC,,,,,,,,,,,,,,
Mushroom&Swiss Meal EGY QC,,,,,,,,,,,,,,
Double Burger Meal EGY QC,,,,,,,,,,,,,,
4 Inch Bread EGY TO,Crispy Culrs (Large) EGY TO,,,,,,,,,,,,,
Medium Pepsi  EGY,,,,,,,,,,,,,,
Mushroom&Swiss Meal EGY QC,,,,,,,,,,,,,,
Mushroom Double Treat QC,,,,,,,,,,,,,,
Crispy Culrs (Large) EGY,Mushroom Double Treat QC,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Big Delux EGY TO,Delivery Charges,Mushroom&Swiss Meal HD EGY QC,,,,,,,,,,,,
Crispy Culrs (Medium) EGY,,,,,,,,,,,,,,
Medium Pepsi  EGY,,,,,,,,,,,,,,
Small Aquafina EGY,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY TO,Al Ostora Meal EGY QC,,,,,,,,,,,,,
15 Pc Tender (Bun) EGY TO,1PC Tender (S) EGY TO,Barbeque Cupp EGY TO,Ranch Dressing Cup HRD EGY TO,,,,,,,,,,,
Chicken Fillet Meal EGY QC,Cordon Blue Meal EGY QC,,,,,,,,,,,,,
Cordon Blue Sandwich  EGY TO,,,,,,,,,,,,,,
Double Org Angus Meal EGY QC,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Cordon Blue Meal EGY QC,,,,,,,,,,,,,
Double Burger Meal EGY QC,,,,,,,,,,,,,,
Angus Classic Meal EGY QC,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Super Star Meal EGY QC,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Mushroom Angus Meal EGY QC,,,,,,,,,,,,,,
Grilled Chicken Fillet EGY TO,,,,,,,,,,,,,,
Mushroom Angus Meal EGY QC,,,,,,,,,,,,,,
Chicken Mushroom & Swiss Sandwich - Meal QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Jalapeno Chicken Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,Chicken Spicy Meal HD EGY QC,Delivery Charges,Santafee  Sauce  Cup EGY TO,,,,,,,,,,,
Delivery Charges,Mirinda Orange Can EGY TO,Ranch Dressing Cup HRD EGY TO,Super Star Sandwich EGY TO,,,,,,,,,,,
Delivery Charges,Santafee  Sauce  Cup EGY TO,Super Star Chicken(N) HD EGY QC,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,Chicken Spicy Meal HD EGY QC,Delivery Charges,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Chicken Mushroom & Swiss Sandwich EGY TO,Mushroom&Swiss Meal EGY QC,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
4oz Mushroom Sauce Cup  EGY TO,5Pc Tender Meal HD EGY QC,Barbeque Cupp EGY TO,Delivery Charges,Famous Cheese Star HD EGY QC,Mushroom&Swiss Meal HD EGY QC,,,,,,,,,
Chicken Wrap Spicy sand EGY TO,Delivery Charges,Loaded Fries EGY TO,Super Star Sandwich EGY TO,,,,,,,,,,,
Chicken Wrap Spicy Meal HD EGY QC,Chicken Wrap Spicy sand EGY TO,Choc ChipCookie  EGY TO,Delivery Charges,,,,,,,,,,,
Crispy Culrs (Medium) EGY TO,Delivery Charges,Mushrom Angus Sandwich  EGY TO,,,,,,,,,,,,
Mushroom&Swiss Meal EGY QC,,,,,,,,,,,,,,
Big Delux EGY,Mush&Swiss Sand  EGY,,,,,,,,,,,,,
Crispy Culrs (Medium) EGY,,,,,,,,,,,,,,
